#{"t_start": 1770904748.212053, "env_id": "None"}
r,l,t
28.673847,262,62.085813
-56.667109,114,62.122593
-41.960971,143,62.16762
-35.986488,128,62.203994
11.259643,165,62.249142
-45.567117,89,62.272822
-12.317392,96,62.297199
-42.973283,112,62.32736
-19.417024,127,62.361568
-25.025173,135,62.394236
-43.384473,106,63.078192
-100.847584,193,63.148436
-8.996835,158,63.233324
-49.662433,191,63.299277
-39.924278,111,63.341893
-36.721305,128,63.380095
-32.805143,216,63.443625
-51.757924,135,63.480073
1.247951,122,63.512129
-40.422815,123,63.544625
-31.72136,116,63.574776
-34.485822,113,63.606261
-43.504288,117,63.702269
-26.839944,82,63.723353
-39.235435,138,63.758481
-32.204044,104,64.463766
-4.612845,169,64.526151
-24.875761,165,64.58463
5.281548,240,64.672032
-41.78157,90,64.704899
-20.592877,134,64.747407
-2.772482,137,64.789018
-25.415521,173,64.840124
-40.123358,104,64.868716
-17.350986,97,64.894139
-29.743846,120,64.924067
2.975456,141,64.959666
-21.4089,171,65.006752
-42.886284,107,65.038493
-7.997387,123,65.711901
-45.00877,138,65.761109
-8.333985,101,65.796096
-14.656907,101,65.831816
-6.169792,148,65.887568
-37.938262,130,65.935132
-40.373141,117,65.979152
-26.743431,127,66.019318
-30.644512,109,66.054066
-33.718036,75,66.078642
-10.171674,107,66.110535
-18.894604,89,66.137068
-32.644799,137,66.176866
-21.147778,86,66.199835
-19.064237,96,66.225198
60.228309,304,66.307511
50.391333,240,67.046266
-10.562981,97,67.074772
-21.475413,124,67.112086
-34.97566,151,67.159711
-40.535974,131,67.202498
9.222761,150,67.252482
-19.677671,140,67.29574
-16.312038,82,67.320537
-43.722635,161,67.373494
-29.098683,146,67.413539
-20.300368,109,67.442778
-32.424324,121,67.475026
26.74265,288,67.546438
10.506689,153,67.58356
19.878533,182,68.334151
-26.398431,180,68.402197
9.370576,128,68.450847
-29.992542,77,68.478973
-12.997218,100,68.515174
2.256902,144,68.566479
8.383803,151,68.615058
-22.806458,132,68.657538
0.1749,129,68.694455
-42.824873,128,68.734449
-13.289291,87,68.758366
-47.856345,149,68.800028
-6.499248,93,68.824028
-32.956035,104,68.856992
19.07425,163,68.898319
-38.456627,212,68.956727
-3.13545,116,69.631854
-43.123106,103,69.669453
-10.44472,118,69.711953
-10.833177,128,69.758427
-8.85363,157,69.815031
-14.605638,137,69.860916
-25.254713,112,69.896167
-27.836022,129,69.934669
-33.948598,115,69.968841
-10.38601,117,70.00154
-8.943277,105,70.029442
-18.401784,103,70.056446
-29.121411,125,70.089354
-31.905184,129,70.122542
-18.101727,125,70.153195
-1.659828,116,70.181109
-31.318055,88,70.202055
-14.355694,116,70.885134
-32.827475,103,70.920708
-13.513721,108,70.960382
-39.140397,116,71.003985
-28.31491,84,71.033525
-35.630401,109,71.074329
10.98641,201,71.140764
-6.240762,96,71.170862
-19.862009,75,71.193449
5.332885,130,71.230727
-23.259285,71,71.251143
-34.145107,129,71.286139
-39.406311,92,71.310688
-16.597903,78,71.33065
-0.015391,194,71.3807
-15.175182,113,71.409076
-14.089748,85,71.429823
-25.191391,136,71.463343
-1.858614,116,72.193986
5.289424,123,72.240099
-7.499782,104,72.278786
40.619923,196,72.346572
-26.2872,95,72.378816
-32.093978,141,72.424016
-1.350561,159,72.472054
73.274334,254,72.543285
-1.899368,126,72.576925
-8.259087,94,72.604215
-4.497834,109,72.631043
5.287955,178,72.674619
-31.874764,159,72.712401
-4.606199,225,72.766241
-0.051901,114,73.450431
-4.028619,130,73.495832
-25.445017,115,73.53781
-11.216061,167,73.595983
-11.55686,156,73.654614
-32.614634,111,73.691098
8.862813,132,73.731195
-11.416896,124,73.767612
-11.88783,110,73.798324
-5.075893,171,73.843957
-2.512313,112,73.873685
0.382102,109,73.902047
6.16769,126,73.933242
-23.877928,188,73.979794
-23.887927,143,74.014565
29.332009,220,74.722633
